,trade_date,ts_code,name,industry,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num
38,20241216,000059.SZ,华锦股份,石油加工,辽宁,0.0,15.99,15.99,272.54,144.89,97.26,64.82,4.05,-1.18,7.76,0.65,19970130,36.52,2.28,-25.69,-381.94,9.13,-7.91,46797
39,20241216,000060.SZ,中金岭南,铅锌,深圳,17.32,37.37,37.38,451.54,179.0,171.98,5.63,0.15,0.21,3.58,1.38,19970123,81.98,2.19,-13.49,11.66,5.89,2.16,132866
40,20241216,000061.SZ,农 产 品,农业综合,深圳,31.12,16.97,16.97,205.52,37.09,20.53,27.85,1.64,0.18,3.68,2.08,19970110,13.73,0.81,-7.93,7.31,29.88,12.15,38370
41,20241216,000062.SZ,深圳华强,元器件,深圳,72.39,10.44,10.46,165.64,116.08,2.76,6.38,0.61,0.25,6.87,3.58,19970130,49.2,4.7,13.63,-35.14,8.25,1.95,122295
42,20241216,000063.SZ,中兴通讯,通信设备,深圳,14.23,40.27,47.84,1996.94,1400.03,141.75,274.67,5.74,1.65,15.12,2.07,19971118,393.54,8.23,0.73,0.83,40.43,8.71,459974
43,20241216,000065.SZ,北方国际,建筑工程,北京,10.22,9.06,10.02,240.48,139.95,28.17,18.96,1.89,0.76,8.88,1.16,19980605,60.59,6.05,-3.48,9.7,11.7,5.59,39580
44,20241216,000066.SZ,中国长城,IT设备,深圳,0.0,31.47,32.26,339.37,207.46,42.67,45.93,1.42,-0.21,3.72,4.18,19970626,31.96,0.99,19.27,17.24,16.38,-6.82,517675
45,20241216,000068.SZ,华控赛格,环境保护,深圳,0.0,10.07,10.07,38.23,12.75,0.62,11.93,1.19,-0.07,0.62,6.81,19970611,-17.33,-1.72,-11.39,-119.62,2.63,-15.02,48648
46,20241216,000069.SZ,华侨城Ａ,全国地产,深圳,0.0,68.95,80.38,3456.83,2530.77,223.41,45.59,0.57,-0.31,7.05,0.42,19970910,411.23,5.12,-7.65,29.76,12.88,-10.36,121948
47,20241216,000070.SZ,ST特信,通信设备,深圳,903.62,8.89,9.0,83.74,51.78,11.72,15.03,1.67,0.005,2.12,2.79,20000511,-4.37,-0.49,0.41,122.95,14.11,1.33,56286
48,20241216,000078.SZ,海王生物,医药商业,深圳,127.24,26.26,26.31,313.19,278.47,9.91,20.75,0.79,0.02,1.15,2.58,19981218,-16.84,-0.64,-14.27,-47.77,9.9,0.51,131564
49,20241216,000088.SZ,盐 田 港,港口,深圳,19.53,22.49,51.99,227.51,49.17,53.37,25.1,0.48,0.23,3.15,1.6,19970728,56.53,1.09,-9.52,5.7,24.93,168.1,55833
50,20241216,000089.SZ,深圳机场,机场,深圳,32.99,20.51,20.51,244.83,48.07,109.32,27.87,1.36,0.16,5.48,1.28,19980420,53.46,2.61,13.92,99.38,21.02,9.43,69527
51,20241216,000090.SZ,天健集团,建筑工程,深圳,18.9,18.68,18.69,688.01,579.72,3.8,15.64,0.84,0.16,5.99,0.74,19990721,65.68,3.51,-47.61,-68.01,16.23,3.01,46733
52,20241216,000096.SZ,广聚能源,石油贸易,深圳,78.47,5.11,5.28,29.52,11.74,0.37,3.62,0.69,0.13,5.22,2.54,20000724,12.83,2.43,-19.34,11.14,8.65,4.49,20936
53,20241216,000099.SZ,中信海直,空运,深圳,79.44,7.76,7.76,65.64,30.05,24.22,19.45,2.51,0.25,6.75,3.94,20000731,21.38,2.76,6.3,0.26,21.59,12.74,130657
54,20241216,000100.SZ,TCL科技,元器件,广东,45.89,180.98,187.79,3937.95,1158.38,1649.49,104.69,0.56,0.08,2.82,1.76,20040130,215.66,1.15,-7.57,-5.34,11.98,-1.49,596865
55,20241216,000151.SZ,中成股份,商贸代理,北京,0.0,3.08,3.37,27.16,22.03,0.76,9.93,2.94,-0.42,1.58,10.31,20000906,-9.51,-2.82,-59.35,-1095.67,-0.45,-26.67,32160
56,20241216,000153.SZ,丰原药业,化学制药,安徽,16.0,4.55,4.65,46.64,20.15,8.98,4.51,0.97,0.32,4.3,1.57,20000920,9.86,2.12,1.16,3.4,22.55,4.45,36372
57,20241216,000155.SZ,川能动力,新型电力,四川,26.71,12.97,18.46,251.24,96.38,79.64,70.83,3.84,0.39,5.52,2.2,20000926,10.06,0.54,-7.02,11.69,53.94,28.36,117134
58,20241216,000156.SZ,华数传媒,影视音像,浙江,32.83,17.0,18.53,283.67,112.06,94.6,89.13,4.81,0.19,7.96,1.04,20000906,33.92,1.83,-4.79,-33.76,31.82,5.54,36997
59,20241216,000157.SZ,中联重科,工程机械,湖南,14.49,70.71,86.78,1286.66,775.98,111.78,194.13,2.24,0.38,6.58,1.06,20001012,260.96,3.01,-3.18,9.95,28.37,10.16,237600
60,20241216,000158.SZ,常山北明,软件服务,河北,0.0,15.88,15.99,165.74,108.86,14.74,26.67,1.67,-0.18,3.48,7.14,20000724,10.62,0.66,5.6,-118.43,10.14,-6.2,455479
61,20241216,000159.SZ,国际实业,石油贸易,新疆,0.0,4.81,4.81,35.55,20.78,3.96,2.22,0.46,-0.94,4.18,2.02,20000926,11.34,2.36,-43.54,-883.59,6.8,-18.59,35750
